Date,Time,Timezone,Open,High,Low,Close
2025-01-08,10:15:00,+05:30,23670.9,23677.2,23666.15,23667.0
2025-01-08,10:16:00,+05:30,23667.5,23679.0,23667.1,23677.3
2025-01-08,10:17:00,+05:30,23677.0,23684.25,23675.1,23679.55
2025-01-08,10:18:00,+05:30,23678.8,23679.1,23672.8,23675.25
2025-01-08,10:19:00,+05:30,23675.6,23677.4,23664.55,23664.55
2025-01-08,10:20:00,+05:30,23665.55,23665.55,23636.65,23636.7
2025-01-08,10:21:00,+05:30,23638.1,23638.1,23608.9,23610.6
2025-01-08,10:22:00,+05:30,23610.95,23615.85,23603.1,23608.5
2025-01-08,10:23:00,+05:30,23608.2,23611.65,23604.15,23606.8
2025-01-08,10:24:00,+05:30,23606.65,23607.95,23600.7,23602.3
2025-01-08,10:25:00,+05:30,23601.65,23602.15,23592.7,23597.85
2025-01-08,10:26:00,+05:30,23597.8,23598.3,23583.65,23584.7
2025-01-08,10:27:00,+05:30,23584.4,23592.15,23580.35,23580.85
2025-01-08,10:28:00,+05:30,23581.5,23593.7,23578.6,23592.8
2025-01-08,10:29:00,+05:30,23593.95,23610.85,23593.05,23607.65
2025-01-08,10:30:00,+05:30,23607.45,23609.4,23600.95,23602.45
2025-01-08,10:31:00,+05:30,23603.2,23612.3,23594.25,23612.3
2025-01-08,10:32:00,+05:30,23611.35,23614.1,23604.6,23606.15
2025-01-08,10:33:00,+05:30,23603.45,23604.65,23596.25,23598.1
2025-01-08,10:34:00,+05:30,23597.4,23601.75,23595.4,23600.15
2025-01-08,10:35:00,+05:30,23600.75,23606.55,23598.9,23604.05
2025-01-08,10:36:00,+05:30,23604.1,23604.1,23587.2,23588.5
2025-01-08,10:37:00,+05:30,23588.9,23600.3,23588.25,23597.15
2025-01-08,10:38:00,+05:30,23597.7,23611.2,23596.25,23605.25
2025-01-08,10:39:00,+05:30,23605.2,23605.2,23594.7,23594.95
2025-01-08,10:40:00,+05:30,23593.2,23595.45,23587.85,23595.35
2025-01-08,10:41:00,+05:30,23595.85,23597.5,23567.4,23570.35
2025-01-08,10:42:00,+05:30,23569.7,23576.15,23564.55,23567.9
2025-01-08,10:43:00,+05:30,23567.7,23570.15,23557.35,23559.25
